Timestamp,Milliseconds,centimeters
2020-05-30 08:00:49,2,5.000305
2020-05-30 08:00:49,101,5.000305
2020-05-30 08:00:49,201,5.000305
2020-05-30 08:00:49,302,5.000305
2020-05-30 08:00:50,401,5.000305
2020-05-30 08:00:50,501,5.000305
2020-05-30 08:00:50,601,5.000305
2020-05-30 08:00:50,701,5.000305
2020-05-30 08:00:50,801,5.000305
2020-05-30 08:00:50,902,5.000305
2020-05-30 08:00:50,1001,5.000305
2020-05-30 08:00:50,1101,5.000305
2020-05-30 08:00:50,1202,5.000305
2020-05-30 08:00:50,1301,5.000305
2020-05-30 08:00:51,1401,5.000305
2020-05-30 08:00:51,1502,5.000305
2020-05-30 08:00:51,1601,5.000305
2020-05-30 08:00:51,1701,5.000305
2020-05-30 08:00:51,1802,5.000305
2020-05-30 08:00:51,1901,5.000305
2020-05-30 08:00:51,2001,5.000305
2020-05-30 08:00:51,2102,5.000305
2020-05-30 08:00:51,2201,5.000305
2020-05-30 08:00:51,2301,5.000305
2020-05-30 08:00:52,2401,5.000305
2020-05-30 08:00:52,2501,5.000305
2020-05-30 08:00:52,2602,5.000305
2020-05-30 08:00:52,2701,5.000305
2020-05-30 08:00:52,2801,5.000305
2020-05-30 08:00:52,2902,5.000305
2020-05-30 08:00:52,3001,5.000305
2020-05-30 08:00:52,3101,5.000305
2020-05-30 08:00:52,3201,5.000305
2020-05-30 08:00:52,3301,5.000305
2020-05-30 08:00:53,3402,5.000305
2020-05-30 08:00:53,3501,5.000305
2020-05-30 08:00:53,3601,5.000305
2020-05-30 08:00:53,3702,5.000305
2020-05-30 08:00:53,3801,5.000305
2020-05-30 08:00:53,3901,5.000305
2020-05-30 08:00:53,4001,5.000305
2020-05-30 08:00:53,4101,5.000305
2020-05-30 08:00:53,4202,5.000305
2020-05-30 08:00:53,4301,5.000305
2020-05-30 08:00:54,4401,5.000305
2020-05-30 08:00:54,4502,5.000305
2020-05-30 08:00:54,4601,5.000305
2020-05-30 08:00:54,4701,5.000305
2020-05-30 08:00:54,4802,5.000305
2020-05-30 08:00:54,4901,5.000305
2020-05-30 08:00:54,5002,5.000305
2020-05-30 08:00:54,5101,5.000305
2020-05-30 08:00:54,5201,5.000305
2020-05-30 08:00:54,5301,5.000305
2020-05-30 08:00:55,5402,5.000305
2020-05-30 08:00:55,5501,5.000305
2020-05-30 08:00:55,5601,5.000305
2020-05-30 08:00:55,5702,5.000305
2020-05-30 08:00:55,5801,5.000305
2020-05-30 08:00:55,5901,5.000305
2020-05-30 08:00:55,6002,5.000305
2020-05-30 08:00:55,6101,5.000305
2020-05-30 08:00:55,6202,5.000305
2020-05-30 08:00:55,6301,5.000305
2020-05-30 08:00:56,6401,5.000305
2020-05-30 08:00:56,6501,5.000305
2020-05-30 08:00:56,6601,5.000305
2020-05-30 08:00:56,6702,5.000305
2020-05-30 08:00:56,6801,5.000305
2020-05-30 08:00:56,6901,5.000305
2020-05-30 08:00:56,7002,5.000305
2020-05-30 08:00:56,7101,5.000305
2020-05-30 08:00:56,7201,5.000305
2020-05-30 08:00:56,7302,5.000305
2020-05-30 08:00:57,7401,5.000305
2020-05-30 08:00:57,7502,5.000305
2020-05-30 08:00:57,7601,5.000305
2020-05-30 08:00:57,7701,5.000305
2020-05-30 08:00:57,7801,5.000305
2020-05-30 08:00:57,7902,5.000305
2020-05-30 08:00:57,8001,5.000305
2020-05-30 08:00:57,8101,5.000305
2020-05-30 08:00:57,8202,5.000305
2020-05-30 08:00:57,8301,5.000305
2020-05-30 08:00:58,8401,5.000305
2020-05-30 08:00:58,8502,5.000305
2020-05-30 08:00:58,8601,5.000305
2020-05-30 08:00:58,8701,5.000305
2020-05-30 08:00:58,8802,5.000305
2020-05-30 08:00:58,8901,5.000305
2020-05-30 08:00:58,9001,5.000305
2020-05-30 08:00:58,9102,5.000305
2020-05-30 08:00:58,9201,5.000305
2020-05-30 08:00:58,9301,5.000305
2020-05-30 08:00:59,9402,5.000305
2020-05-30 08:00:59,9501,5.000305
2020-05-30 08:00:59,9601,5.000305
2020-05-30 08:00:59,9702,5.000305
2020-05-30 08:00:59,9801,5.000305
2020-05-30 08:00:59,9902,5.000305
2020-05-30 08:00:59,10001,5.000305
2020-05-30 08:00:59,10101,5.000305
2020-05-30 08:00:59,10201,5.000305
2020-05-30 08:00:59,10302,5.000305
2020-05-30 08:01:00,10401,5.000305
2020-05-30 08:01:00,10501,5.000305
2020-05-30 08:01:00,10601,5.000305
2020-05-30 08:01:00,10702,5.000305
2020-05-30 08:01:00,10801,5.000305
2020-05-30 08:01:00,10902,5.000305
2020-05-30 08:01:00,11002,5.000305
2020-05-30 08:01:00,11101,5.000305
2020-05-30 08:01:00,11201,5.000305
2020-05-30 08:01:00,11301,5.000305
2020-05-30 08:01:01,11401,5.000305
2020-05-30 08:01:01,11501,5.000305
2020-05-30 08:01:01,11601,5.000305
2020-05-30 08:01:01,11702,5.000305
2020-05-30 08:01:01,11801,5.000305
2020-05-30 08:01:01,11902,5.000305
2020-05-30 08:01:01,12001,5.000305
2020-05-30 08:01:01,12101,5.000305
2020-05-30 08:01:01,12202,5.000305
2020-05-30 08:01:01,12301,5.000305
2020-05-30 08:01:02,12401,5.000305
2020-05-30 08:01:02,12502,5.000305
2020-05-30 08:01:02,12601,5.000305
2020-05-30 08:01:02,12702,5.000305
2020-05-30 08:01:02,12801,5.000305
2020-05-30 08:01:02,12901,5.000305
2020-05-30 08:01:02,13002,5.000305
2020-05-30 08:01:02,13101,5.000305
2020-05-30 08:01:02,13201,5.000305
2020-05-30 08:01:02,13302,5.000305
